Data Name,Resource Type,Data Type,Source,Period of Record (published or applicable),Spatial Coverage,Spatial Scale or Resolution,Temporal Scale or Resolution,Methodology Used,Units,Stated Accuracy,Availability/ Distribution,Link,Update Frequency,Abstract/Comments/Notes
Delaware Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Delaware Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Georgia Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Georgia Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Hawaii Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Hawaii Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Illinois Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Illinois Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Indiana Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Indiana Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Louisiana Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Louisiana Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Maine Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Maine Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Maryland Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Maryland Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Massachusetts Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Massachusetts Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Michigan Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Michigan Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Minnesota Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Minnesota Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
North Carolina Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",North Carolina Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
New Hampshire Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",New Hampshire Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
New Jersey Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",New Jersey Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
New York Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",New York Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Ohio Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Ohio Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Oregon Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Oregon Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Pennsylvania Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Pennsylvania Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Rhode Island Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Rhode Island Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
South Carolina Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",South Carolina Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Texas Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Texas Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Virginia Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Virginia Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Washington Offshore Wind Resource Estimates,Wind,Maps & GIS,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Washington Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
Wisconsin Offshore Wind Resource Estimates,Wind,Maps & report,National Renewable Energy Laboratory and AWS Truepower ,"June, 2010",Wisconsin Offshore to 50 nm,200 m (raster cell size),Annual,Numerical model and empirical extrapolation,Wind Speed (m/s) at 90 m height,,Public,http://www.windpoweringamerica.gov/windmaps/offshore.asp (maps); http://www.nrel.gov/gis/data_analysis.html (GIS data);  http://www.windpoweringamerica.gov/pdfs/offshore/offshore_wind_resource_assessment.pdf (report).,TBD,Model estimates by AWS Truepower (AWST) validated by the National Renewable Energy Laboratory (NREL).  Incorporated into national/regional dataset.
